c_ufo;k_ufo_vema;nazev;kraj;kraj_nuts;matrika_uctu;cnb_banka
451;2000;Finanční úřad pro hlavní město Prahu;Hlavní město Praha;CZ010;77628031;0710
452;2100;Finanční úřad pro Středočeský kraj;Středočeský;CZ020;77628111;0710
453;2200;Finanční úřad pro Jihočeský kraj;Jihočeský;CZ031;77627231;0710
454;2300;Finanční úřad pro Plzeňský kraj;Plzeňský;CZ032;77627311;0710
455;2400;Finanční úřad pro Karlovarský kraj;Karlovarský;CZ041;77629341;0710
456;2500;Finanční úřad pro Ústecký kraj;Ústecký;CZ042;77621411;0710
457;2600;Finanční úřad pro Liberecký kraj;Liberecký;CZ051;77628461;0710
458;2700;Finanční úřad pro Královéhradecký kraj;Královéhradecký;CZ052;77626511;0710
459;2800;Finanční úřad pro Pardubický kraj;Pardubický;CZ053;77622561;0710
460;2900;Finanční úřad pro Kraj Vysočina;Vysočina;CZ063;67626681;0710
461;3000;Finanční úřad pro Jihomoravský kraj;Jihomoravský;CZ064;77628621;0710
462;3100;Finanční úřad pro Olomoucký kraj;Olomoucký;CZ071;47623811;0710
463;3200;Finanční úřad pro Moravskoslezský kraj;Moravskoslezský;CZ080;77621761;0710
464;3300;Finanční úřad pro Zlínský kraj;Zlínský;CZ072;47620661;0710
13;4000;Specializovaný finanční úřad;Celostátní;CZ0;77620021;0710
