c_pracufo;c_ufo;k_ufo_vema;nazev;kraj
2001;451;2000;Praha 1;Hlavní město Praha
2002;451;2000;Praha 2;Hlavní město Praha
2003;451;2000;Praha 3;Hlavní město Praha
2004;451;2000;Praha 4;Hlavní město Praha
2005;451;2000;Praha 5;Hlavní město Praha
2006;451;2000;Praha 6;Hlavní město Praha
2007;451;2000;Praha 7;Hlavní město Praha
2008;451;2000;Praha 8;Hlavní město Praha
2009;451;2000;Praha 9;Hlavní město Praha
2010;451;2000;Praha 10;Hlavní město Praha
2011;451;2000;Praha - Jižní Město;Hlavní město Praha
2012;451;2000;Praha - Modřany;Hlavní město Praha
2101;452;2100;Praha-východ;Středočeský
2102;452;2100;Praha-západ;Středočeský
2103;452;2100;Benešov;Středočeský
2104;452;2100;Beroun;Středočeský
2105;452;2100;Brandýs nad Labem-Stará Boleslav;Středočeský
2106;452;2100;Čáslav;Středočeský
2107;452;2100;Český Brod;Středočeský
2108;452;2100;Dobříš;Středočeský
2109;452;2100;Hořovice;Středočeský
2110;452;2100;Kladno;Středočeský
2111;452;2100;Kolín;Středočeský
2112;452;2100;Kralupy nad Vltavou;Středočeský
2113;452;2100;Kutná Hora;Středočeský
2114;452;2100;Mělník;Středočeský
2115;452;2100;Mladá Boleslav;Středočeský
2116;452;2100;Mnichovo Hradiště;Středočeský
2117;452;2100;Neratovice;Středočeský
2118;452;2100;Nymburk;Středočeský
2119;452;2100;Poděbrady;Středočeský
2120;452;2100;Příbram;Středočeský
2121;452;2100;Rakovník;Středočeský
2122;452;2100;Říčany;Středočeský
2123;452;2100;Sedlčany;Středočeský
2124;452;2100;Slaný;Středočeský
2125;452;2100;Vlašim;Středočeský
2126;452;2100;Votice;Středočeský
2201;453;2200;České Budějovice;Jihočeský
2202;453;2200;Blatná;Jihočeský
2203;453;2200;Český Krumlov;Jihočeský
2204;453;2200;Dačice;Jihočeský
2205;453;2200;Jindřichův Hradec;Jihočeský
2206;453;2200;Kaplice;Jihočeský
2207;453;2200;Milevsko;Jihočeský
2208;453;2200;Písek;Jihočeský
2209;453;2200;Prachatice;Jihočeský
