sekce;nazev_cz;nazev_en;sekce_2008
A;Zemědělství, lesnictví a rybářství;Agriculture, forestry and fishing;A
B;Těžba a dobývání;Mining and quarrying;B
C;Zpracovatelský průmysl;Manufacturing;C
D;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Electricity, gas, steam and air conditioning supply;D
E;Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi;Water supply; sewerage, waste management and remediation activities;E
F;Stavebnictví;Construction;F
G;Velkoobchod a maloobchod;Wholesale and retail trade;G
H;Doprava a skladování;Transportation and storage;H
I;Ubytování, stravování a pohostinství;Accommodation and food service activities;I
J;Vydavatelské činnosti, vysílání a tvorba obsahu a distribuční činnosti;Publishing, broadcasting and content production and distribution activities;J (část)
K;Telekomunikační činnosti, počítačové programování a poradenství, poskytování počítačové infrastruktury a ostatní informační činnosti;Telecommunications, computer programming, consulting, computing infrastructure and other information service activities;J (část)
L;Peněžnictví a pojišťovnictví;Financial and insurance activities;K
M;Činnosti v oblasti nemovitostí;Real estate activities;L
N;Profesní, vědecké a technické činnosti;Professional, scientific and technical activities;M
O;Administrativní a podpůrné činnosti;Administrative and support service activities;N
P;Veřejná správa a obrana; povinné sociální zabezpečení;Public administration and defence; compulsory social security;O
Q;Vzdělávání;Education;P
R;Zdravotní a sociální péče;Human health and social work activities;Q
S;Kulturní, zábavní a rekreační činnosti;Arts, entertainment and recreation;R
T;Ostatní činnosti;Other service activities;S
U;Činnosti domácností jako zaměstnavatelů; činnosti domácností produkujících blíže neurčené výrobky a služby pro vlastní potřebu;Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use;T
V;Činnosti exteritoriálních organizací a orgánů;Activities of extraterritorial organisations and bodies;U
